# x y
1 0.960000
2 0.973333
3 0.960000
4 0.946667
5 0.986667
6 0.973333
7 0.986667
8 0.960000
9 0.986667
10 0.920000
11 0.920000
12 0.920000
13 0.946667
14 0.933333
15 0.920000
16 0.920000
17 0.920000
18 0.933333
19 0.920000
20 0.933333
21 0.933333
22 0.920000
23 0.920000
24 0.906667
25 0.933333
26 0.906667
27 0.933333
28 0.906667
29 0.906667
30 0.893333
31 0.893333
32 0.893333
33 0.893333
34 0.880000
35 0.920000
36 0.880000
37 0.906667
38 0.906667
39 0.920000
40 0.906667
41 0.920000
42 0.906667
43 0.933333
44 0.906667
45 0.906667
46 0.893333
47 0.893333
48 0.880000
49 0.893333
50 0.666667
51 0.666667
52 0.666667
53 0.653333
54 0.666667
55 0.666667
56 0.666667
57 0.666667
58 0.666667
59 0.640000
60 0.640000
61 0.640000
62 0.640000
63 0.640000
64 0.640000
65 0.640000
66 0.640000
67 0.640000
68 0.640000
69 0.640000
70 0.640000
71 0.626667
72 0.613333
73 0.560000
74 0.533333
75 0.333333
